Week,Nino1+2SST,Nino1+2SSTA,Nino3SST,Nino3SSTA,Nino34SST,Nino34SSTA,Nino4SST,Nino4SSTA
1981-09-02,20.6,0.1,24.8,0.1,26.5,0.2,28.3,0.3
1981-09-09,20.1,0.6,24.7,0.2,26.5,0.2,28.4,0.2
1981-09-16,19.7,0.9,24.6,0.3,26.5,0.2,28.4,0.3
1981-09-23,20.3,0.4,24.3,0.6,26.1,0.5,28.2,0.5
1981-09-30,20.0,0.8,24.7,0.3,26.2,0.4,28.0,0.6
1981-10-07,20.1,0.7,24.8,0.2,26.5,0.2,28.3,0.3
1981-10-14,20.0,0.9,24.9,0.1,26.4,0.3,28.3,0.3
1981-10-21,20.4,0.7,24.9,0.2,26.7,0.0,28.7,0.0
1981-10-28,20.7,0.5,24.7,0.4,26.3,0.5,28.3,0.4
1981-11-04,20.8,0.6,24.4,0.7,25.7,1.0,28.0,0.6
1981-11-11,20.9,0.7,24.4,0.7,25.9,0.8,28.1,0.6
1981-11-18,21.5,0.3,24.6,0.5,26.2,0.6,28.3,0.3
1981-11-25,21.7,0.3,24.7,0.4,26.4,0.3,28.5,0.1
1981-12-02,22.1,0.2,25.0,0.2,26.5,0.2,28.5,0.0
1981-12-09,22.6,0.0,24.7,0.5,26.2,0.4,28.1,0.4
1981-12-16,22.8,0.0,24.7,0.5,25.7,0.9,27.6,0.8
1981-12-23,23.2,0.0,25.3,0.1,26.3,0.3,28.3,0.1
1981-12-30,23.4,0.1,25.5,0.2,26.5,0.0,28.2,0.1
1982-01-06,24.1,0.2,25.7,0.3,26.6,0.1,28.0,0.2
1982-01-13,24.1,0.2,25.7,0.2,26.3,0.1,27.7,0.5
1982-01-20,23.8,0.9,25.6,0.0,26.6,0.1,28.1,0.0
1982-01-27,24.9,0.3,26.0,0.2,26.7,0.3,28.0,0.1
1982-02-03,25.2,0.3,26.1,0.1,26.6,0.0,27.7,0.4
1982-02-10,25.3,0.6,26.1,0.1,26.3,0.3,27.9,0.2
1982-02-17,25.2,0.9,26.3,0.1,26.4,0.3,27.9,0.2
1982-02-24,25.2,1.2,26.3,0.3,26.5,0.3,28.2,0.1
1982-03-03,25.2,1.3,26.7,0.1,26.8,0.2,28.0,0.1
1982-03-10,25.0,1.6,26.6,0.5,26.7,0.4,28.0,0.1
1982-03-17,25.1,1.4,26.9,0.3,27.0,0.2,28.0,0.2
1982-03-24,25.0,1.4,27.1,0.2,27.5,0.1,28.4,0.2
1982-03-31,24.5,1.7,27.2,0.2,27.3,0.3,28.3,0.0
1982-04-07,24.7,1.3,27.6,0.1,27.8,0.1,28.5,0.2
1982-04-14,24.3,1.4,27.4,0.1,27.6,0.1,28.4,0.0
1982-04-21,24.2,1.3,27.5,0.0,28.0,0.1,28.8,0.2
1982-04-28,24.1,1.0,27.4,0.0,28.0,0.1,28.7,0.1
1982-05-05,24.1,0.8,27.6,0.2,28.1,0.2,29.1,0.4
1982-05-12,23.9,0.7,27.5,0.2,28.0,0.1,29.0,0.2
1982-05-19,23.7,0.6,27.9,0.7,28.6,0.8,29.4,0.6
1982-05-26,23.7,0.4,27.7,0.7,28.6,0.8,29.3,0.5
1982-06-02,23.4,0.3,27.5,0.7,28.6,0.8,29.3,0.5
1982-06-09,23.1,0.4,27.3,0.6,28.4,0.6,29.5,0.6
1982-06-16,23.0,0.1,27.0,0.5,28.1,0.4,29.4,0.6
1982-06-23,22.5,0.4,26.9,0.5,28.3,0.7,29.4,0.6
1982-06-30,22.4,0.1,26.2,0.0,28.2,0.7,29.6,0.8
1982-07-07,22.9,0.7,25.9,0.1,27.3,0.1,29.0,0.2
1982-07-14,22.2,0.3,26.1,0.3,27.3,0.1,28.5,0.2
1982-07-21,21.5,0.1,26.3,0.6,27.8,0.6,28.5,0.3
1982-07-28,21.6,0.2,25.8,0.3,27.4,0.4,28.6,0.1
1982-08-04,21.8,0.6,26.0,0.6,27.6,0.6,28.5,0.2
1982-08-11,22.0,1.0,26.0,0.8,27.8,1.0,28.8,0.1
1982-08-18,21.8,0.9,26.0,0.9,28.0,1.2,28.9,0.2
1982-08-25,21.6,0.8,26.0,1.0,27.5,0.8,28.7,0.0
1982-09-01,21.6,0.8,25.9,0.9,27.3,0.6,28.4,0.2
1982-09-08,22.1,1.4,26.2,1.3,27.7,1.0,28.9,0.3
1982-09-15,21.9,1.2,26.4,1.5,28.0,1.3,29.2,0.5
1982-09-22,21.9,1.2,26.7,1.8,28.3,1.7,29.1,0.4
1982-09-29,22.3,1.5,27.2,2.2,28.6,1.9,28.9,0.2
1982-10-06,22.3,1.5,27.2,2.2,28.7,2.0,29.1,0.4
1982-10-13,22.6,1.7,26.8,1.8,28.5,1.8,29.2,0.5
1982-10-20,23.0,1.9,27.1,2.1,28.5,1.8,29.3,0.6
1982-10-27,23.3,2.1,27.0,1.9,28.3,1.6,29.1,0.4
1982-11-03,23.9,2.6,27.0,2.0,28.3,1.5,28.7,0.0
1982-11-10,24.3,2.7,27.3,2.2,28.6,1.8,28.8,0.2
1982-11-17,24.6,2.8,27.3,2.2,28.4,1.6,28.8,0.2
1982-11-24,25.0,3.0,27.8,2.7,28.8,2.1,28.9,0.3
1982-12-01,25.3,3.1,27.6,2.5,28.5,1.8,28.9,0.4
1982-12-08,25.5,3.0,27.8,2.6,28.6,2.0,28.8,0.3
1982-12-15,25.6,2.8,28.0,2.9,28.8,2.2,28.8,0.3
1982-12-22,26.3,3.2,28.3,3.1,29.1,2.5,28.8,0.4
1982-12-29,26.1,2.7,28.5,3.2,29.1,2.6,28.8,0.4
1983-01-05,26.6,2.7,28.3,2.9,28.7,2.3,28.6,0.4
1983-01-12,26.5,2.3,28.2,2.7,28.8,2.3,28.8,0.6
1983-01-19,27.0,2.4,28.4,2.8,28.6,2.1,28.6,0.4
1983-01-26,27.3,2.2,28.7,2.9,28.8,2.3,28.6,0.5
1983-02-02,27.6,2.1,28.4,2.5,28.7,2.1,28.4,0.3
1983-02-09,27.9,2.1,28.6,2.4,28.7,2.1,28.4,0.3
1983-02-16,27.7,1.5,28.3,1.9,28.4,1.7,28.6,0.5
1983-02-23,27.3,1.0,28.2,1.7,28.4,1.6,28.7,0.7
1983-03-02,28.0,1.4,28.5,1.8,28.7,1.8,28.6,0.5
1983-03-09,28.5,1.9,28.4,1.4,28.6,1.5,28.6,0.5
1983-03-16,28.4,1.9,28.6,1.4,28.5,1.3,28.6,0.5
1983-03-23,28.6,2.2,28.5,1.2,28.4,1.0,28.7,0.5
1983-03-30,28.2,2.0,28.4,0.9,28.2,0.7,28.5,0.2
1983-04-06,28.1,2.1,28.6,1.1,28.4,0.7,28.5,0.1
1983-04-13,28.3,2.5,29.0,1.5,28.6,0.8,28.4,0.1
1983-04-20,28.2,2.8,28.9,1.4,28.6,0.8,28.6,0.0
1983-04-27,28.1,2.9,28.7,1.3,28.6,0.7,28.6,0.0
1983-05-04,27.9,3.0,28.8,1.5,28.6,0.7,28.8,0.1
1983-05-11,27.6,3.0,28.7,1.4,28.6,0.8,29.1,0.4
1983-05-18,27.8,3.4,28.6,1.5,28.6,0.7,29.1,0.3
1983-05-25,28.3,4.3,28.5,1.4,28.4,0.5,28.9,0.1
1983-06-01,28.0,4.2,28.6,1.7,28.7,0.9,29.1,0.2
1983-06-08,27.3,3.8,28.3,1.6,28.4,0.7,29.0,0.2
1983-06-15,27.2,4.0,28.2,1.7,28.3,0.6,28.6,0.2
1983-06-22,27.1,4.2,27.7,1.3,27.7,0.1,28.6,0.2
1983-06-29,27.0,4.5,27.4,1.1,27.6,0.1,28.6,0.2
1983-07-06,26.4,4.2,26.8,0.7,27.1,0.3,28.5,0.3
1983-07-13,26.0,4.0,26.5,0.6,27.0,0.3,28.6,0.2
1983-07-20,25.4,3.7,26.2,0.5,26.6,0.6,28.5,0.2
1983-07-27,25.1,3.7,26.1,0.5,26.5,0.6,28.2,0.5
1983-08-03,24.6,3.4,25.9,0.6,26.4,0.6,28.4,0.3
1983-08-10,24.0,2.9,25.8,0.6,26.3,0.6,28.3,0.4
1983-08-17,23.4,2.5,25.6,0.5,26.6,0.2,28.2,0.5
1983-08-24,23.5,2.7,25.6,0.6,26.2,0.5,27.9,0.8
1983-08-31,22.7,1.9,25.3,0.4,26.2,0.5,28.0,0.6
1983-09-07,22.3,1.6,25.4,0.5,26.6,0.1,28.0,0.6
1983-09-14,22.5,1.9,25.2,0.3,26.5,0.2,28.3,0.3
1983-09-21,21.9,1.2,25.0,0.1,26.1,0.6,27.9,0.7
1983-09-28,22.0,1.2,24.7,0.2,25.8,0.9,27.6,1.1
1983-10-05,22.4,1.6,24.4,0.6,25.6,1.1,27.4,1.2
1983-10-12,22.3,1.4,24.7,0.3,25.8,0.9,27.7,1.0
1983-10-19,21.8,0.8,24.8,0.3,25.8,0.9,27.4,1.3
1983-10-26,21.8,0.6,23.9,1.1,25.4,1.4,27.9,0.8
1983-11-02,22.1,0.8,24.1,1.0,25.5,1.3,27.9,0.8
1983-11-09,21.9,0.3,24.1,0.9,25.7,1.0,27.7,0.9
1983-11-16,22.0,0.3,23.8,1.3,25.1,1.6,27.5,1.2
1983-11-23,22.0,0.0,23.7,1.4,25.1,1.6,27.5,1.1
1983-11-30,22.3,0.1,24.4,0.7,25.7,1.0,27.6,1.0
1983-12-07,22.4,0.1,24.4,0.8,25.8,0.8,27.7,0.8
1983-12-14,22.9,0.1,24.2,1.0,25.4,1.2,27.3,1.2
1983-12-21,23.4,0.3,24.1,1.1,25.1,1.5,27.2,1.2
1983-12-28,23.6,0.2,24.2,1.1,24.9,1.6,27.3,1.0
1984-01-04,24.3,0.5,24.7,0.7,25.6,0.9,27.5,0.7
1984-01-11,24.1,0.1,24.6,0.9,25.7,0.8,27.4,0.8
1984-01-18,23.9,0.7,24.5,1.1,25.4,1.1,27.3,0.8
1984-01-25,24.5,0.6,24.7,1.0,25.3,1.2,27.1,1.0
1984-02-01,24.6,0.8,25.3,0.7,26.0,0.5,27.4,0.7
1984-02-08,24.9,0.9,26.0,0.1,26.3,0.3,27.5,0.6
1984-02-15,25.3,0.9,26.6,0.3,26.6,0.0,27.0,1.1
1984-02-22,25.5,0.8,26.8,0.2,26.7,0.1,27.0,1.1
1984-02-29,25.1,1.3,26.8,0.1,26.6,0.3,26.9,1.2
1984-03-07,25.5,1.0,26.9,0.1,26.5,0.5,27.0,1.1
